STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0001 1.0-1.9','`0002 2.0-2.9','`0003 3.0-3.9','`0004 4.0-4.9'
Georgia,13,Ben Hill,17,34,Sweetgum,Hardwood,2,0,132101,1662813.319,7658390.608,,
Georgia,13,Ben Hill,17,35,Tupelo and blackgum,Hardwood,2,0,132101,,12357049.2,10626523.08,17792772.25
Georgia,13,Ben Hill,17,41,Other eastern soft hardwoods,Hardwood,2,0,132101,,,6648819.21,21741434.85
Georgia,13,Ben Hill,17,43,Eastern noncommercial hardwoods,Hardwood,2,0,132101,599264.0197,4264957.874,,
Georgia,13,Berrien,19,1,Longleaf and slash pines,Softwood,2,0,132101,3188233.973,26380665.84,9769466.592,75730316.72
Georgia,13,Berrien,19,2,Loblolly and shortleaf pines,Softwood,2,0,132101,3770264.706,25920385.81,18829732.24,17637354.23
Georgia,13,Berrien,19,8,Cypress,Softwood,2,0,132101,83789059.72,120178644.6,70031325.21,138935131.2
Georgia,13,Berrien,19,28,Other red oaks,Hardwood,2,0,132101,5082788.995,34806671.85,44404212.06,39099257.19
Georgia,13,Berrien,19,32,Soft maple,Hardwood,2,0,132101,20504337.79,61161919.42,74466826.68,37498523.03
Georgia,13,Berrien,19,34,Sweetgum,Hardwood,2,0,132101,,3655903.424,8402069.88,21588263.12
Georgia,13,Berrien,19,35,Tupelo and blackgum,Hardwood,2,0,132101,37805794.4,136845496.2,143000209.4,352498239.3
Georgia,13,Berrien,19,41,Other eastern soft hardwoods,Hardwood,2,0,132101,1065189.474,,,
Georgia,13,Berrien,19,43,Eastern noncommercial hardwoods,Hardwood,2,0,132101,4212641.319,,37200783.9,25470257.25
Georgia,13,Bibb,21,2,Loblolly and shortleaf pines,Softwood,3,0,132101,4219466.351,8689661.817,7108913.186,
Georgia,13,Bibb,21,25,Select white oaks,Hardwood,3,0,132101,4312633.022,,,
Georgia,13,Bibb,21,27,Other white oaks,Hardwood,3,0,132101,,,13459807.36,
Georgia,13,Bibb,21,28,Other red oaks,Hardwood,3,0,132101,5487884.413,,47063484.74,133123805.1
Georgia,13,Bibb,21,31,Hard maple,Hardwood,3,0,132101,,6554896.818,,
Georgia,13,Bibb,21,32,Soft maple,Hardwood,3,0,132101,,4640623.049,,
Georgia,13,Bibb,21,34,Sweetgum,Hardwood,3,0,132101,24291000.09,29510442.54,15244782.66,16393917.35
Georgia,13,Bibb,21,36,Ash,Hardwood,3,0,132101,1227668.127,,,
Georgia,13,Bibb,21,41,Other eastern soft hardwoods,Hardwood,3,0,132101,10418007.35,5481762.842,45050152.66,44327531.91
Georgia,13,Bibb,21,42,Other eastern hard hardwoods,Hardwood,3,0,132101,11403747.73,,8838268.259,
Georgia,13,Bibb,21,43,Eastern noncommercial hardwoods,Hardwood,3,0,132101,8940780.773,3350468.948,,19489974.99
Georgia,13,Bibb,21,55,Urban-specific hardwoods,Hardwood,3,0,132101,,,36267168.84,
Georgia,13,Bibb,21,55,Urban-specific hardwoods,Hardwood,3,1,132101,661675.246,,8001252.307,
Georgia,13,Bleckley,23,1,Longleaf and slash pines,Softwood,3,0,132101,2514533.688,5187674.476,,
Georgia,13,Bleckley,23,2,Loblolly and shortleaf pines,Softwood,3,0,132101,1531008.603,,,
Georgia,13,Bleckley,23,9,Other eastern softwoods,Softwood,3,0,132101,,1609990.795,,
Georgia,13,Bleckley,23,27,Other white oaks,Hardwood,3,0,132101,4984780.083,7872092.913,,
Georgia,13,Bleckley,23,28,Other red oaks,Hardwood,3,0,132101,18158214.81,23681028.5,31294413.32,101194828
Georgia,13,Bleckley,23,29,Hickory,Hardwood,3,0,132101,1254330.893,7576680.8,46046075.07,21619241.84
Georgia,13,Bleckley,23,31,Hard maple,Hardwood,3,0,132101,4135720.126,4776322.981,,
Georgia,13,Bleckley,23,32,Soft maple,Hardwood,3,0,132101,4802461.339,16502053.76,,
Georgia,13,Bleckley,23,33,Beech,Hardwood,3,0,132101,,,8633328.099,
Georgia,13,Bleckley,23,34,Sweetgum,Hardwood,3,0,132101,3543146.92,7093307.257,7084557.576,69008171.22
Georgia,13,Bleckley,23,36,Ash,Hardwood,3,0,132101,2653469.609,18624857.66,,26554073.09
Georgia,13,Bleckley,23,41,Other eastern soft hardwoods,Hardwood,3,0,132101,13647870.51,22442587.08,11754082.19,48172840.29
Georgia,13,Bleckley,23,42,Other eastern hard hardwoods,Hardwood,3,0,132101,1197723.178,8254947.561,18517647.1,16789094.18
Georgia,13,Bleckley,23,43,Eastern noncommercial hardwoods,Hardwood,3,0,132101,2715395.583,13339214.6,20233139.67,
Georgia,13,Bleckley,23,55,Urban-specific hardwoods,Hardwood,3,0,132101,750968.0412,,,
Georgia,13,Brantley,25,1,Longleaf and slash pines,Softwood,1,0,132101,23700655.48,21611721.8,87338398.96,173630716.8
Georgia,13,Brantley,25,2,Loblolly and shortleaf pines,Softwood,1,0,132101,3768368.72,6814103.963,19507044.37,99119900.32
Georgia,13,Brantley,25,8,Cypress,Softwood,1,0,132101,1945903.508,16223161.89,5754526.378,
Georgia,13,Brantley,25,27,Other white oaks,Hardwood,1,0,132101,6840502.742,11893126.05,45737045.67,27895003.79
Georgia,13,Brantley,25,28,Other red oaks,Hardwood,1,0,132101,9399533.909,10493423.85,,27889590.99
Georgia,13,Brantley,25,32,Soft maple,Hardwood,1,0,132101,28172553.8,41381930.29,24523999.06,15226213.83
Georgia,13,Brantley,25,34,Sweetgum,Hardwood,1,0,132101,2279562.897,,6413401.823,16720014.93
Georgia,13,Brantley,25,35,Tupelo and blackgum,Hardwood,1,0,132101,22994700.1,43588184.18,80449350.27,90098195.21
Georgia,13,Brantley,25,36,Ash,Hardwood,1,0,132101,969828.4234,,,
Georgia,13,Brantley,25,39,Yellow-poplar,Hardwood,1,0,132101,,6152799.023,12721057.56,51407908.54
Georgia,13,Brantley,25,41,Other eastern soft hardwoods,Hardwood,1,0,132101,7331431.663,5173959.958,,
Georgia,13,Brantley,25,42,Other eastern hard hardwoods,Hardwood,1,0,132101,,6592025.06,,
Georgia,13,Brantley,25,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,704122.3499,16423441.58,35439333,106708455.9
Georgia,13,Brantley,25,54,Tropical and subtropical hardwoods,Hardwood,1,0,132101,3468815.88,3862875.359,,26760135.96
Georgia,13,Brantley,25,55,Urban-specific hardwoods,Hardwood,1,0,132101,4354869.133,,,
