statecd,fortypcd,spgrpcd,trtcd1,trtcd2,trtcd3,harvest_type1_srs,harvest_type2_srs,harvest_type3_srs,areatot,area20,area40,area60,area80,area100,area100plus
1,141,42,10,20,30,11,,,108688.8499678072469974750687858,108706.8499678072469974750687858,18,18,18,18,18
1,141,42,20,30,0,,,,463.4015011721524141209379078679406,464.4015011721524141209379078679406,1,1,1,1,1
1,141,42,0,0,0,,,,518841.054939783108676243304519937549,77859.45427637184726449019356810376,84358.443396790594886190229395983789,112184.731948789343503890103215,197453.3741233867243736984109978,44323.7067320338355510375946055,3327.34446241076309693677273755
1,141,42,10,0,0,14,,,25882.7522128116812690647944392,5,5,25887.7522128116812690647944392,5,5,5
1,141,43,10,0,0,14,,,24821.5122374593074410495486888,12,6102.0593441909838280152457504,13714.6335244297136130343029384,12,5040.81936883861,12
1,141,43,10,20,30,11,,,71942.4888421309175544333639048,71954.4888421309175544333639048,12,12,12,12,12
1,141,43,0,0,0,,,,765671.8832687786571813045322516109894,179806.8826750963217438850267398443014,179330.41085265743906837666219452082,147548.0623983666339927342136994,207036.5297901441407575585032858106616,52884.9975525141216187501263320352064,187
1,141,43,20,30,0,,,,1390.2045035164572423628137236038218,1393.2045035164572423628137236038218,3,3,3,3,3
1,141,43,10,30,0,11,,,56.3398206649922591330961948274554,57.3398206649922591330961948274554,1,1,1,1,1
1,142,1,10,20,30,11,,,375781.727310587342284492109504,375845.727310587342284492109504,64,64,64,64,64
1,142,1,0,0,0,,,,7340665.4133647603967561176782769492284,693286.0329386057398188062536439,4009825.1884763669710474950884171152262,1456104.4229834487570049445082707250608,1179847.1387297286989407718279452089414,9832.6302366102299441,1646
1,142,1,20,30,0,,,,63361.90503621645,63373.90503621645,12,12,12,12,12
1,142,1,10,0,0,16,,,376257.4275302365952347050553328,120536.935074215274458064733816,62,62,255844.4924560213207766403215168,62,62
1,142,1,20,30,50,,,,24360.2373767639353120609830016,24364.2373767639353120609830016,4,4,4,4,4
1,142,1,10,0,0,12,,,97369.6397696487733980533601264,27,27,12207.1186883819676560304915008,85216.5210812668057420228686256,27,27
1,142,1,50,0,0,,,,37569.44332396905,37595.44332396905,26,26,26,26,26
1,142,1,10,0,0,14,,,499696.686977110269410115505410694848,126920.171620226445644562846958694848,238989.2097846821795492172519432,97,97,134078.3055722016442163354065088,97
1,142,2,10,20,30,11,,,17614.768467683781669585567633,17617.768467683781669585567633,3,3,3,3,3
1,142,2,10,0,0,16,,,30118.733768553818614516183454,30123.733768553818614516183454,5,5,5,5,5
1,142,2,10,0,0,12,,,76125.74180238729785019057188,50,50,76175.74180238729785019057188,50,50,50
1,142,2,10,0,0,14,,,9135.0890162864757420228686256,2,9137.0890162864757420228686256,2,2,2,2
1,142,2,0,0,0,,,,1140614.187687223645384026132502649973,251332.6539388686731143134405056,518857.4671561655170952440542626691498,217550.3498043882883594749463561051282,154545.716787801166814993691378275695,418,418
1,142,2,20,30,0,,,,6047.19478574496,6048.19478574496,1,1,1,1,1
1,142,3,10,0,0,16,,,18071.2402611322911687097100724,18074.2402611322911687097100724,3,3,3,3,3
