STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Bacon,5,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,5945154.732,4194061.142,11343894.64,,,,28100449.71,,,,,,,,,,,,
Georgia,13,Conecuh,5,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,5945154.732,4194061.142,11343894.64,,,,28100449.71,,,,,,,,,,,,
Georgia,13,Baker,7,1,Longleaf and slash pines,Softwood,2,0,132101,70551379.3,237613097.9,136568350.3,117074853.5,122936224.3,65971316.44,101809644.4,,60229659.73,,81373036.43,,,,,,,,
Georgia,13,Coosa,7,1,Longleaf and slash pines,Softwood,2,0,132101,70551379.3,237613097.9,136568350.3,117074853.5,122936224.3,65971316.44,101809644.4,,60229659.73,,81373036.43,,,,,,,,
Georgia,13,Baker,7,2,Loblolly and shortleaf pines,Softwood,2,0,132101,17682692.58,46960356.95,91589437.82,37360518.91,154611586.7,106192098.4,154862325.9,,,,132074842.6,60128677.31,,,,,,,
Georgia,13,Coosa,7,2,Loblolly and shortleaf pines,Softwood,2,0,132101,17682692.58,46960356.95,91589437.82,37360518.91,154611586.7,106192098.4,154862325.9,,,,132074842.6,60128677.31,,,,,,,
Georgia,13,Baker,7,3,Other yellow pines,Softwood,2,0,132101,1429833.455,,,,,,,,,,,,,,,,,,
Georgia,13,Coosa,7,3,Other yellow pines,Softwood,2,0,132101,1429833.455,,,,,,,,,,,,,,,,,,
Georgia,13,Baker,7,8,Cypress,Softwood,2,0,132101,16242520.38,59383147.62,35574310.04,,15918627.24,38781574.07,,,,,,,,,,,,,
Georgia,13,Coosa,7,8,Cypress,Softwood,2,0,132101,16242520.38,59383147.62,35574310.04,,15918627.24,38781574.07,,,,,,,,,,,,,
Georgia,13,Baker,7,9,Other eastern softwoods,Softwood,2,0,132101,5477636.696,4820722.203,,11546143.53,,,,,,,,,,,,,,,
Georgia,13,Coosa,7,9,Other eastern softwoods,Softwood,2,0,132101,5477636.696,4820722.203,,11546143.53,,,,,,,,,,,,,,,
Georgia,13,Baker,7,27,Other white oaks,Hardwood,2,0,132101,33715187.89,19054143.54,49032916.92,26316986.79,79295134.04,,23631409.46,,,,76737715.89,,,,,,,136587248.7,665162278.6
Georgia,13,Coosa,7,27,Other white oaks,Hardwood,2,0,132101,33715187.89,19054143.54,49032916.92,26316986.79,79295134.04,,23631409.46,,,,76737715.89,,,,,,,136587248.7,665162278.6
Georgia,13,Baker,7,28,Other red oaks,Hardwood,2,0,132101,56220262.63,103375794.5,108301688.9,64046861.49,89388975.77,56343234.38,162265549,,,126852693.3,,,,,,,131041954.5,,
Georgia,13,Coosa,7,28,Other red oaks,Hardwood,2,0,132101,56220262.63,103375794.5,108301688.9,64046861.49,89388975.77,56343234.38,162265549,,,126852693.3,,,,,,,131041954.5,,
Georgia,13,Baker,7,29,Hickory,Hardwood,2,0,132101,5204803.421,4355502.656,,,,,,,,,,,,,,,,,
