stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,spclass,sizerange,volume,value,product
GA,13,02,02,111,1,Softwood,3.0-3.9,7938058.086682038,3900828.0737622827,Pre-merchantable
GA,13,02,02,111,1,Softwood,4.0-4.9,23273965.682686783,14429748.023139592,Pre-merchantable
GA,13,02,02,121,1,Softwood,1.0-1.9,612630.5791196189,216281.8812473238,Pre-merchantable
GA,13,02,02,121,1,Softwood,2.0-2.9,773299.115709095,301192.55303633335,Pre-merchantable
GA,13,02,02,121,1,Softwood,3.0-3.9,9026716.705556825,4435804.015847517,Pre-merchantable
GA,13,02,02,121,1,Softwood,4.0-4.9,15407855.51656545,9552797.134455275,Pre-merchantable
GA,13,02,02,131,2,Softwood,1.0-1.9,3065534.512873049,1082250.2076627875,Pre-merchantable
GA,13,02,02,131,2,Softwood,2.0-2.9,8486345.39966984,3305349.74753061,Pre-merchantable
GA,13,02,02,131,2,Softwood,3.0-3.9,13160414.930989455,6467137.864774897,Pre-merchantable
GA,13,02,02,131,2,Softwood,4.0-4.9,24324749.283732254,15081228.857848076,Pre-merchantable
GA,13,03,02,110,2,Softwood,1.0-1.9,829591.6077792852,292877.37131133646,Pre-merchantable
GA,13,03,02,110,2,Softwood,2.0-2.9,3311874.179854228,1289943.0754562744,Pre-merchantable
GA,13,03,02,110,2,Softwood,3.0-3.9,5029845.869713949,2471708.289486512,Pre-merchantable
GA,13,03,02,110,2,Softwood,4.0-4.9,5552309.14777794,3442405.2626582542,Pre-merchantable
GA,13,03,02,111,1,Softwood,1.0-1.9,1928692.2046627977,680901.6601341893,Pre-merchantable
GA,13,03,02,111,1,Softwood,2.0-2.9,4815317.585567122,1875519.7928136673,Pre-merchantable
GA,13,03,02,111,1,Softwood,3.0-3.9,13378934.573791059,6574520.243185445,Pre-merchantable
GA,13,03,02,111,1,Softwood,4.0-4.9,23016848.829240628,14270336.796951763,Pre-merchantable
GA,13,03,02,121,1,Softwood,1.0-1.9,1161745.953579721,410140.4809612476,Pre-merchantable
GA,13,03,02,121,1,Softwood,2.0-2.9,4008665.897597722,1561336.734311414,Pre-merchantable
GA,13,03,02,121,1,Softwood,3.0-3.9,8225118.494531923,4041891.956840332,Pre-merchantable
GA,13,03,02,121,1,Softwood,4.0-4.9,25615773.806016292,15881657.921044247,Pre-merchantable
GA,13,03,02,131,2,Softwood,1.0-1.9,7283144.085872498,2571226.7032956197,Pre-merchantable
GA,13,03,02,131,2,Softwood,2.0-2.9,22406588.48259082,8727150.274467407,Pre-merchantable
GA,13,03,02,131,2,Softwood,3.0-3.9,51333640.09434712,25225779.68337046,Pre-merchantable
GA,13,03,02,131,2,Softwood,4.0-4.9,105084927.48592322,65152155.21606448,Pre-merchantable
GA,13,04,01,110,2,Softwood,1.0-1.9,277067.991513856,70331.21993243843,Pre-merchantable
GA,13,04,01,110,2,Softwood,2.0-2.9,709794.8148832901,198778.70862000674,Pre-merchantable
GA,13,04,01,110,2,Softwood,3.0-3.9,6008522.448823722,2123002.7233124464,Pre-merchantable
GA,13,04,01,110,2,Softwood,4.0-4.9,15618698.203692138,6962633.208531966,Pre-merchantable
GA,13,04,01,121,1,Softwood,1.0-1.9,1546260.22514293,392504.26356763276,Pre-merchantable
GA,13,04,01,121,1,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
GA,13,04,01,121,1,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
GA,13,04,01,121,1,Softwood,4.0-4.9,0.0,0.0,Pre-merchantable
GA,13,04,01,131,2,Softwood,1.0-1.9,6517346.056047031,1654369.7319173405,Pre-merchantable
GA,13,04,01,131,2,Softwood,2.0-2.9,19017397.610050038,5325840.170952118,Pre-merchantable
GA,13,04,01,131,2,Softwood,3.0-3.9,32422098.057014257,11455761.887686646,Pre-merchantable
GA,13,04,01,131,2,Softwood,4.0-4.9,67660609.09218255,30162309.152203657,Pre-merchantable
GA,13,05,01,110,2,Softwood,1.0-1.9,216441.522376656,54941.73552711922,Pre-merchantable
GA,13,05,01,110,2,Softwood,2.0-2.9,585072.9304822625,163850.22703907758,Pre-merchantable
GA,13,05,01,110,2,Softwood,3.0-3.9,4295695.919093538,1517806.4511589045,Pre-merchantable
GA,13,05,01,110,2,Softwood,4.0-4.9,5672016.506678016,2528518.7007072195,Pre-merchantable
GA,13,05,01,121,1,Softwood,1.0-1.9,0.0,0.0,Pre-merchantable
GA,13,05,01,121,1,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
GA,13,05,01,121,1,Softwood,3.0-3.9,6540911.73809555,2311112.848657445,Pre-merchantable
GA,13,05,01,121,1,Softwood,4.0-4.9,0.0,0.0,Pre-merchantable
GA,13,05,01,131,2,Softwood,1.0-1.9,4560645.669105226,1157678.921463296,Pre-merchantable
GA,13,05,01,131,2,Softwood,2.0-2.9,16239858.668782491,4547987.765848642,Pre-merchantable
GA,13,05,01,131,2,Softwood,3.0-3.9,32826244.03336014,11598559.558113268,Pre-merchantable
GA,13,05,01,131,2,Softwood,4.0-4.9,40719622.048045516,18152331.840535294,Pre-merchantable
LA,22,01,01,131,2,Softwood,1.0-1.9,1882733.061225385,580018.7644032172,Pre-merchantable
