stateAbbr,spclass,species,pwVolume,pwValue,stVolume,stValue
LA,Non-coniferous,cucumbertree,5296311.63456838,3732674.930305214,0.0,0.0
LA,Non-coniferous,green ash,4885715535.576545,3187187365.593507,6466364464.54165,50878116746.36631
LA,Non-coniferous,mockernut hickory,726417470.8998743,501929601.4370062,727959669.2507493,5617700918.115458
LA,Non-coniferous,overcup oak,1537952295.614245,1029327698.2701999,5385314565.035133,41702763985.00432
LA,Non-coniferous,pecan,1308780729.834405,868427995.2234414,2947985678.176956,23060544593.096962
LA,Non-coniferous,pignut hickory,419580634.1928718,285710714.969185,1211387096.4276297,9430941782.561985
LA,Non-coniferous,shagbark hickory,50126338.1641469,35327476.6900231,155793858.9730861,1217427291.058733
LA,Non-coniferous,shelbark hickory,6630214.48701184,4672767.976243225,109038092.51458889,834311779.7561591
LA,Non-coniferous,southern magnolia,558025954.0154057,359490596.2139887,802445911.8694042,6368755599.06038
LA,Non-coniferous,southern red oak,1872268759.4772284,1314377197.050735,5324304886.667302,40779016596.503975
LA,Non-coniferous,swamp white oak,3746793.674213,2640623.0942830034,0.0,0.0
LA,Non-coniferous,sweetbay,637471571.9233207,416175844.69445974,454981556.5733029,3557469800.2053003
LA,Non-coniferous,sweetgum,12907841408.583961,8654246784.030603,16164711721.91317,126296637903.48877
LA,Non-coniferous,white ash,121256436.41761675,85457747.12349823,51709728.883421004,395660222.409551
LA,Non-coniferous,white oak,2508184465.138402,1732756054.3093865,6164422872.324847,47510744651.62677
LA,Non-coniferous,yellow-poplar,380677068.81069416,233891455.06091842,792714745.999523,6329334116.025082
LA,Softwood,loblolly pine,866084885.2187052,393532014.88929576,,
LA,Softwood,longleaf pine,33025400.41221454,14324898.730640741,,
LA,Softwood,shortleaf pine,14751843.000090947,6392306.523558853,,
LA,Softwood,slash pine,218894816.64985207,100140129.31592527,,
MS,Coniferous,Virginia pine,1844913.59794606,818961.6459175193,0.0,0.0
MS,Coniferous,baldcypress,519705129.84142315,265369230.97076568,2251527451.1474576,13107237844.95866
MS,Coniferous,eastern redcedar,1487500993.3243155,691197297.2801934,809877509.4403547,4648223513.162998
MS,Coniferous,loblolly pine,128880693408.19514,63916556013.564415,121425223800.67397,707903472803.1001
MS,Coniferous,longleaf pine,2451039133.936002,1361846848.0845473,3520733161.8688154,21155350046.196033
MS,Coniferous,shortleaf pine,3785371155.0134215,1826914585.718417,8056974372.783811,46595704520.93271
MS,Coniferous,slash pine,5228454582.210243,2912915561.423986,6248450701.582659,37686056963.84065
MS,Non-coniferous,bitternut hickory,219410631.59882736,133950874.8330287,291423408.41071475,2577614709.724785
MS,Non-coniferous,black cherry,2782195280.574811,1686294644.735261,862852635.5957558,7639125694.143532
MS,Non-coniferous,black oak,426026477.89503706,261472688.93567783,797913322.766155,7050121226.280292
MS,Non-coniferous,black walnut,90924977.37382685,55731142.28068343,128037434.71001941,1131929299.7429295
MS,Non-coniferous,chestnut oak,54418138.701560505,33599629.45786132,30453394.1227514,268903184.60332495
MS,Non-coniferous,cucumbertree,20843410.80170197,12633483.615525777,74744523.5762755,659993442.4486042
MS,Non-coniferous,green ash,2672445336.7193937,1633443327.226149,2500519014.9452395,22119538616.502895
MS,Non-coniferous,mockernut hickory,2085406556.9023705,1269827248.3592575,2289051775.6352015,20253758511.314556
MS,Non-coniferous,overcup oak,399728069.7222169,244215839.15197736,1927243025.1114345,17052668052.316214
MS,Non-coniferous,pecan,682213198.8405864,417013895.8131047,1445015713.15697,12785262000.53625
MS,Non-coniferous,pignut hickory,1906160500.540236,1162762634.482457,3301539823.5495243,29209521820.147163
MS,Non-coniferous,shagbark hickory,581622713.7630953,355827927.4436803,1255601249.653113,11102411240.513212
MS,Non-coniferous,shelbark hickory,82812355.37821253,50909306.501650184,68926512.75299239,608917145.8048972
MS,Non-coniferous,southern magnolia,919464041.3057106,552935209.5509311,782335780.7269738,6937803753.272954
MS,Non-coniferous,southern red oak,2992936795.9201403,1821453552.524221,9958486321.837355,88114413754.16959
MS,Non-coniferous,sweetbay,2496112475.1372266,1489410497.3321264,1427381342.12493,12675798832.576784
MS,Non-coniferous,sweetgum,23973891299.79383,14582177644.984903,17716855311.41199,156834740839.06747
MS,Non-coniferous,white ash,435744419.1686858,265965112.31067327,651399580.6953356,5765537276.005946
MS,Non-coniferous,white oak,5643822788.037542,3436140758.3511405,14102639714.8168,124829738510.01251
MS,Non-coniferous,yellow-poplar,5653023833.349319,3431223645.513531,10801321479.267094,95682580148.35632
MS,Softwood,loblolly pine,639164415.7094303,246183433.76096374,,
MS,Softwood,longleaf pine,33131613.634998024,13417633.610126061,,
MS,Softwood,shortleaf pine,48192081.13806701,18664282.00489007,,
MS,Softwood,slash pine,38443591.620205194,16680377.605730638,,
NC,Coniferous,Virginia pine,15920903195.503292,7711359294.333196,6200220496.054352,33203783430.630417
NC,Coniferous,baldcypress,1115352940.2184265,654589759.1220949,3088679274.285203,19184653309.45501
NC,Coniferous,eastern redcedar,2237000580.469601,1114218669.2777023,788572051.4193766,4319752170.941216
NC,Coniferous,eastern white pine,3242075708.5497003,1345692976.3672972,9208294607.674356,43763334602.28224
NC,Coniferous,loblolly pine,128903694291.1047,70133651190.8589,105579272821.6927,620137475076.4806
NC,Coniferous,longleaf pine,4244412946.1967697,2488642588.1994615,5517556754.746273,34271092611.11153
NC,Coniferous,shortleaf pine,9021366978.169294,4428418704.85059,10211466912.767448,55049197468.378654
NC,Coniferous,slash pine,901296426.8587329,528962079.78751856,981122061.5258613,6094024316.910479
NC,Non-coniferous,bitternut hickory,556126472.2258669,204505121.54636866,742699878.6301665,5966747018.469535
NC,Non-coniferous,black cherry,4309811074.380627,1518537729.5025845,2017052949.299179,16194601129.615509
