stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,product,sizerange,volume,value
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,13.0-14.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,15.0-16.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,17.0-18.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,19.0-20.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,05.0-06.9,330268033.9494636,267930974.62910846
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,07.0-08.9,373768890.1358429,303221180.15048426
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,09.0-10.9,332971475.8828751,270124150.34584457
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,11.0-12.9,308439400.9504744,250222427.89420033
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,13.0-14.9,334045611.7058646,2959705709.3736186
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,15.0-16.9,400671302.2223147,3550021611.4610553
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,17.0-18.9,212362117.12534088,1881567511.995865
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,19.0-20.9,155072368.6435988,1373969777.6502538
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,21.0-22.9,121944516.7830687,1080450902.2182705
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,05.0-06.9,140982043.50790858,114372123.3646768
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,07.0-08.9,273774226.3193109,222100196.6459982
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,09.0-10.9,391491794.2933117,317598941.5323063
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,11.0-12.9,486884681.7741679,394986719.6039243
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,13.0-14.9,488856215.2604636,4331356200.072395
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,15.0-16.9,430707569.85145056,3816148480.592043
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,17.0-18.9,164679257.8984375,1459088587.718331
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,19.0-20.9,250784482.0833505,2221996749.6473694
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,21.0-22.9,121661468.8836,1077943045.6420214
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,23.0-24.9,238224569.46372873,2110713608.1036313
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,25.0-26.9,197764040.7943454,1752225864.1829216
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,27.0-28.9,109134026.100385,966947592.8354733
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,05.0-06.9,52030479.729507975,42209889.2758125
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,07.0-08.9,75273100.69466908,61065538.16698997
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,09.0-10.9,26060428.860957332,21141604.352291826
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,11.0-12.9,0.0,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,13.0-14.9,39137369.3539836,346764308.42876935
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,15.0-16.9,48401419.1852377,428845497.99286824
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,17.0-18.9,0.0,0.0
