stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,Product,size_class_code,size_class_range,volume
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,0003,5.0-6.9,712766018.446804
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,0004,7.0-8.9,758084668.4577515
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,0005,9.0-10.9,920434293.3128111
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,0006,11.0-12.9,807119862.1675289
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0007,13.0-14.9,592497006.295441
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0008,15.0-16.9,438794335.5292949
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0009,17.0-18.9,203736842.1133299
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0010,19.0-20.9,25548914.7246823
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0011,21.0-22.9,101354991.816528
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
