stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,species,spclass,sizerange,product,volume,value
MI,26,01,02,746,37,quaking aspen,Non-coniferous,23.0-24.9,Sawtimber,181220851.950675,1003156357.9661546
MI,26,01,02,746,37,quaking aspen,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,746,37,quaking aspen,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,762,41,black cherry,Non-coniferous,05.0-06.9,Pulpwood,625452257.4121907,0.0
MI,26,01,02,762,41,black cherry,Non-coniferous,07.0-08.9,Pulpwood,1104428631.4494762,0.0
MI,26,01,02,762,41,black cherry,Non-coniferous,09.0-10.9,Pulpwood,835722067.3407819,0.0
MI,26,01,02,762,41,black cherry,Non-coniferous,11.0-12.9,Pulpwood,612179086.308622,0.0
MI,26,01,02,762,41,black cherry,Non-coniferous,13.0-14.9,Sawtimber,747764023.8746679,14394457459.587358
MI,26,01,02,762,41,black cherry,Non-coniferous,15.0-16.9,Sawtimber,513713770.56763196,9888990083.426916
MI,26,01,02,762,41,black cherry,Non-coniferous,17.0-18.9,Sawtimber,221524008.55499652,4264337164.683683
MI,26,01,02,762,41,black cherry,Non-coniferous,19.0-20.9,Sawtimber,113901330.9394128,2192600620.5836964
MI,26,01,02,762,41,black cherry,Non-coniferous,21.0-22.9,Sawtimber,45937104.6996552,884289265.4683626
MI,26,01,02,762,41,black cherry,Non-coniferous,23.0-24.9,Sawtimber,52672531.5259752,1013946231.8750225
MI,26,01,02,762,41,black cherry,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,762,41,black cherry,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,05.0-06.9,Pulpwood,10383876.9037466,1746010.9904401787
MI,26,01,02,809,28,northern pin oak,Non-coniferous,07.0-08.9,Pulpwood,13475880.270504,2265920.0678377124
MI,26,01,02,809,28,northern pin oak,Non-coniferous,09.0-10.9,Pulpwood,6073552.07836752,1021245.6077955123
MI,26,01,02,809,28,northern pin oak,Non-coniferous,11.0-12.9,Pulpwood,89825405.27842209,15103813.950286742
MI,26,01,02,809,28,northern pin oak,Non-coniferous,13.0-14.9,Sawtimber,58239570.1043208,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,15.0-16.9,Sawtimber,0.0,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,17.0-18.9,Sawtimber,0.0,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,809,28,northern pin oak,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,823,25,bur oak,Non-coniferous,05.0-06.9,Pulpwood,0.0,0.0
MI,26,01,02,823,25,bur oak,Non-coniferous,07.0-08.9,Pulpwood,0.0,0.0
MI,26,01,02,823,25,bur oak,Non-coniferous,09.0-10.9,Pulpwood,0.0,0.0
MI,26,01,02,823,25,bur oak,Non-coniferous,11.0-12.9,Pulpwood,45337235.7094143,7623290.660952739
MI,26,01,02,823,25,bur oak,Non-coniferous,13.0-14.9,Sawtimber,0.0,0.0
MI,26,01,02,823,25,bur oak,Non-coniferous,15.0-16.9,Sawtimber,0.0,0.0
MI,26,01,02,823,25,bur oak,Non-coniferous,17.0-18.9,Sawtimber,98996535.7302184,0.0
